"rank","name","pop2021","pop2010","growth","density","aland_sqmi"
"109","Maltby","11972","10830","0.1054","620","19.3130"
"110","East Renton Highlands","11842","11140","0.0630","1060","11.1740"
"111","Liberty Lake","11784","7617","0.5471","1915","6.1520"
"112","Poulsbo","11696","9276","0.2609","2469","4.7370"
"113","Bothell East","11665","8018","0.4549","5565","2.0960"
"114","Gig Harbor","11343","7124","0.5922","1922","5.9020"
"115","Shelton","11287","9848","0.1461","1943","5.8100"
"116","Grandview","11010","10894","0.0106","1712","6.4310"
"117","Lake Morton-Berrydale","11001","10160","0.0828","892","12.3290"
"118","Sumner","10951","9435","0.1607","1454","7.5320"
"119","Ridgefield","10807","4808","1.2477","1472","7.3430"
"120","Vashon","10291","10624","-0.0313","279","36.9330"
"121","Lake Stickney","10230","7777","0.3154","6691","1.5290"
"122","Airway Heights","10203","7563","0.3491","1697","6.0110"
"123","Fife","10200","9194","0.1094","1782","5.7240"
"124","Snohomish","10138","9179","0.1045","2879","3.5210"
"125","Port Townsend","10081","9119","0.1055","1452","6.9420"
"126","Midland","10005","8962","0.1164","3294","3.0370"
"127","Yelm","9734","6874","0.4161","1709","5.6960"
"128","Alderwood Manor","9579","8442","0.1347","5002","1.9150"
"129","DuPont","9556","8257","0.1573","1642","5.8190"
"130","Mount Vista","9544","7850","0.2158","1825","5.2290"
"131","Burlington","9462","8401","0.1263","2211","4.2800"
"132","College Place","9459","8822","0.0722","3166","2.9880"
"133","Birch Bay","9323","8413","0.1082","582","16.0200"
"135","Picnic Point","9064","8809","0.0289","2985","3.0370"
"134","Orting","9064","6743","0.3442","3351","2.7050"
"136","Felida","8959","7385","0.2131","3101","2.8890"
"137","Summit","8946","7985","0.1204","1759","5.0860"
"138","Hoquiam","8791","8731","0.0069","921","9.5440"
"139","Toppenish","8711","8961","-0.0279","4094","2.1280"
"140","Othello","8684","7364","0.1793","2184","3.9770"
"141","Fairwood","8669","7905","0.0966","2416","3.5880"
"142","Quincy","8537","6803","0.2549","1411","6.0510"
"143","Terrace Heights","8507","6937","0.2263","1061","8.0190"
"144","Summit View","8475","7236","0.1712","2620","3.2350"
"145","Milton","8321","7345","0.1329","3063","2.7170"
"146","Selah","8269","7375","0.1212","1793","4.6120"
"147","Duvall","8267","6744","0.2258","3373","2.4510"
"148","Ephrata","8150","7715","0.0564","781","10.4330"
"149","Sudden Valley","8072","6441","0.2532","1291","6.2540"
"150","Sequim","8054","6583","0.2235","1275","6.3190"
"151","North Bend","8039","5867","0.3702","1849","4.3480"
"152","Chehalis","7734","7255","0.0660","1332","5.8070"
"153","Waller","7647","7922","-0.0347","962","7.9510"
"154","Lake Shore","7599","6571","0.1564","4648","1.6350"
"155","Stanwood","7489","6271","0.1942","2554","2.9320"
"156","Clarkston","7309","7266","0.0059","3555","2.0560"
"157","Ocean Shores","7282","5590","0.3027","855","8.5190"
"158","Tanglewilde","7270","5892","0.2339","5035","1.4440"
"159","Hobart","7262","6221","0.1673","386","18.7990"
"160","Pacific","7148","6624","0.0791","2954","2.4200"
"161","Mead","7114","7275","-0.0221","979","7.2640"
"162","Parkwood","7113","7126","-0.0018","2724","2.6110"
"163","Brier","7050","6254","0.1273","3210","2.1960"
"164","Barberton","6981","5661","0.2332","1609","4.3380"
"165","Woodland","6829","5538","0.2331","1661","4.1120"
"166","Fircrest","6801","6533","0.0410","4296","1.5830"
"167","Clover Creek","6734","6522","0.0325","1041","6.4710"
